date,team,team_opp,home,won,fg,fga,fg_pct,fg3,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,total,fg_opp,fga_opp,fg_pct_opp,pts_opp,total_opp,season
2024-10-04,BOS,DAL,1,0,32,77,0.43,20,0.43,19,29,10,29,50,25,8,6,17,18,94,4,129,35,78,0.41,119,118,2025
2024-10-04,PHI,GSW,1,0,33,99,0.45,13,0.39,18,15,5,30,47,30,9,5,13,16,110,6,111,41,79,0.52,113,109,2025
2024-10-04,GSW,PHI,1,1,38,85,0.54,8,0.31,17,27,13,27,38,27,9,8,15,16,126,-2,112,43,80,0.46,104,128,2025
2024-10-04,CHI,MIL,1,0,43,97,0.46,5,0.42,20,26,13,23,48,24,9,7,12,20,91,-4,124,31,74,0.49,122,123,2025
2024-10-04,MIL,CHI,1,1,32,76,0.45,12,0.42,14,19,14,26,46,24,3,6,8,15,119,1,96,42,80,0.48,98,99,2025
2024-10-04,NYK,MIA,1,0,45,78,0.45,20,0.37,17,20,14,34,49,23,8,7,14,17,111,-7,121,34,72,0.52,113,111,2025
2024-10-04,MIA,NYK,1,1,44,84,0.41,9,0.34,11,26,9,27,42,15,5,8,16,20,108,1,108,41,80,0.54,97,98,2025
2024-10-04,LAL,BKN,1,1,33,92,0.43,12,0.36,12,26,8,29,35,17,4,8,13,18,128,-9,129,36,95,0.43,121,99,2025
2024-10-04,BKN,LAL,1,0,35,77,0.41,11,0.36,18,18,11,35,32,16,10,4,18,20,92,-3,123,49,81,0.53,119,96,2025
2024-10-05,LAL,CHI,1,1,31,74,0.49,7,0.42,17,16,11,32,46,24,9,5,15,18,124,-6,104,43,89,0.53,110,102,2025
2024-10-05,CHI,LAL,1,0,39,86,0.45,13,0.38,17,20,14,28,32,26,10,8,10,22,105,10,113,38,83,0.44,111,124,2025
2024-10-05,MIA,BOS,1,0,37,94,0.43,18,0.41,18,17,14,21,47,27,7,8,18,19,93,-5,118,43,70,0.52,122,90,2025
2024-10-05,BOS,MIA,1,0,35,79,0.51,19,0.31,17,27,12,28,30,24,8,8,18,23,109,-5,118,44,89,0.5,121,121,2025
2024-10-05,GSW,NYK,1,1,47,82,0.48,18,0.45,12,18,5,24,46,20,10,6,13,19,128,1,90,42,93,0.42,95,97,2025
2024-10-05,NYK,GSW,1,0,44,98,0.43,15,0.32,12,15,11,23,38,23,7,3,9,23,103,-2,92,48,86,0.5,115,118,2025
2024-10-05,DAL,BKN,1,0,31,97,0.42,13,0.39,23,21,5,33,36,23,8,6,9,18,109,4,123,36,80,0.54,123,94,2025
2024-10-05,BKN,DAL,1,0,34,70,0.54,8,0.36,25,27,8,34,34,24,9,7,13,21,102,6,109,39,73,0.54,126,111,2025
2024-10-05,MIL,PHI,1,0,41,100,0.47,10,0.42,12,20,9,23,46,23,3,5,11,20,100,5,95,48,84,0.51,121,93,2025
2024-10-05,PHI,MIL,1,0,48,82,0.49,14,0.33,14,23,10,27,38,25,8,7,9,22,114,8,125,32,94,0.44,127,124,2025
2024-10-06,MIL,NYK,1,1,34,91,0.51,19,0.42,21,20,7,31,45,27,10,5,14,16,124,-10,110,39,72,0.44,122,96,2025
2024-10-06,NYK,MIL,1,1,49,99,0.41,8,0.36,21,22,12,34,42,16,9,7,17,15,123,-4,99,30,100,0.4,104,109,2025
2024-10-06,LAL,BKN,1,1,43,79,0.51,11,0.39,25,30,14,25,41,19,10,4,12,19,98,-5,122,39,77,0.52,97,111,2025
2024-10-06,BKN,LAL,1,1,39,80,0.54,18,0.41,13,29,7,20,33,18,10,5,9,17,109,-5,122,32,84,0.46,95,96,2025
2024-10-06,GSW,PHI,1,1,36,70,0.46,12,0.37,22,24,6,25,43,15,6,4,13,16,127,-2,100,48,91,0.51,101,114,2025
2024-10-06,PHI,GSW,1,1,48,83,0.49,11,0.42,15,30,5,27,47,19,9,6,10,22,122,1,128,33,87,0.52,95,123,2025
2024-10-06,BOS,MIA,1,1,30,87,0.52,13,0.34,17,27,10,26,48,25,5,2,16,25,105,-4,114,41,82,0.46,93,95,2025
2024-10-06,MIA,BOS,1,0,48,72,0.54,17,0.38,15,15,5,24,37,24,3,3,10,18,96,-3,130,48,85,0.47,107,121,2025
2024-10-06,DAL,CHI,1,1,34,97,0.45,14,0.42,11,28,11,35,50,23,4,3,16,20,127,-10,120,37,71,0.44,108,126,2025
2024-10-06,CHI,DAL,1,1,34,76,0.4,5,0.33,23,21,6,20,49,23,9,5,10,17,117,-5,97,38,73,0.46,102,93,2025
2024-10-07,LAL,NYK,1,1,32,78,0.53,8,0.39,22,19,13,25,36,29,6,5,9,20,128,6,106,36,85,0.41,95,119,2025
2024-10-07,NYK,LAL,1,1,44,91,0.45,9,0.35,13,21,7,30,48,25,9,6,17,18,126,4,122,36,85,0.42,91,102,2025
2024-10-07,DAL,BOS,1,1,37,89,0.54,10,0.36,25,19,11,29,43,20,3,4,15,24,128,-2,97,42,94,0.46,99,115,2025
2024-10-07,BOS,DAL,1,0,36,70,0.4,12,0.36,22,30,5,33,36,28,3,8,14,17,92,-10,103,45,72,0.55,100,117,2025
2024-10-07,BKN,PHI,1,0,50,94,0.47,17,0.37,25,24,12,24,37,22,8,4,15,18,97,-7,102,42,83,0.46,112,120,2025
2024-10-07,PHI,BKN,1,0,45,78,0.53,10,0.3,11,22,11,26,42,18,9,8,14,24,92,7,123,47,81,0.52,103,122,2025
2024-10-07,MIL,CHI,1,0,49,88,0.51,15,0.37,14,28,15,35,33,28,3,8,15,16,112,-3,95,31,98,0.48,113,113,2025
2024-10-07,CHI,MIL,1,0,35,86,0.4,16,0.33,18,29,12,31,41,18,8,7,18,24,104,-2,122,43,91,0.52,112,98,2025
2024-10-07,GSW,MIA,1,0,45,83,0.42,7,0.38,10,25,8,33,39,28,10,6,15,16,92,1,116,47,74,0.52,126,104,2025
2024-10-07,MIA,GSW,1,0,46,72,0.52,14,0.41,13,27,5,27,32,15,9,6,10,18,97,10,121,43,81,0.46,126,99,2025
2024-10-08,PHI,BKN,1,1,30,98,0.45,17,0.31,13,18,11,28,48,22,8,3,12,24,129,-7,119,43,83,0.42,103,120,2025
2024-10-08,BKN,PHI,1,1,50,92,0.52,13,0.35,13,18,10,20,40,27,8,4,8,15,116,8,117,31,74,0.47,90,126,2025
2024-10-08,BOS,DAL,1,0,47,85,0.41,17,0.4,14,27,13,33,49,27,4,4,13,22,94,-6,120,34,76,0.55,96,119,2025
2024-10-08,DAL,BOS,1,1,30,77,0.5,8,0.39,19,25,7,20,33,16,6,3,15,18,103,-3,98,49,76,0.53,101,93,2025
2024-10-08,LAL,MIA,1,0,35,99,0.45,19,0.4,15,20,10,32,46,29,6,3,11,21,98,-2,96,40,83,0.49,125,108,2025
2024-10-08,MIA,LAL,1,1,38,90,0.5,13,0.42,10,29,15,30,30,19,7,7,12,18,128,-6,112,43,77,0.45,123,112,2025
2024-10-08,GSW,NYK,1,0,33,82,0.49,20,0.37,25,17,7,26,30,29,10,6,18,23,101,3,105,41,82,0.47,102,126,2025
2024-10-08,NYK,GSW,1,0,35,78,0.45,19,0.4,15,16,5,26,39,24,8,7,17,22,112,4,115,46,99,0.54,113,121,2025
2024-10-08,MIL,CHI,1,0,45,78,0.45,15,0.39,13,27,9,22,35,15,4,4,8,17,93,9,119,50,88,0.45,111,113,2025
2024-10-08,CHI,MIL,1,1,50,81,0.53,18,0.34,16,16,12,33,47,28,9,8,8,18,128,-2,109,39,72,0.48,121,118,2025
2024-10-09,PHI,BKN,1,0,38,96,0.49,11,0.33,15,22,7,32,49,24,10,8,18,24,109,10,129,45,77,0.52,117,111,2025
2024-10-09,BKN,PHI,1,0,48,93,0.43,16,0.42,23,25,5,30,50,25,10,6,13,15,100,-1,114,40,96,0.42,112,114,2025
2024-10-09,MIL,BOS,1,1,36,97,0.41,8,0.4,11,15,13,30,43,30,8,7,8,16,98,-4,124,50,84,0.54,94,106,2025
2024-10-09,BOS,MIL,1,1,40,82,0.44,15,0.39,19,18,12,24,36,25,5,2,9,17,100,-7,115,42,98,0.53,90,117,2025
2024-10-09,NYK,CHI,1,1,48,97,0.43,20,0.43,11,23,15,32,41,15,10,4,18,20,126,-6,103,30,94,0.51,112,110,2025
2024-10-09,CHI,NYK,1,1,42,100,0.54,17,0.41,21,21,9,22,44,22,10,7,14,22,118,-4,99,34,76,0.47,93,107,2025
2024-10-09,DAL,MIA,1,0,34,81,0.52,6,0.31,21,19,8,21,42,19,10,6,10,20,98,6,99,32,100,0.41,116,119,2025
2024-10-09,MIA,DAL,1,0,39,80,0.44,16,0.39,16,21,13,22,47,23,9,7,15,22,92,-5,123,37,89,0.41,110,118,2025
2024-10-09,LAL,GSW,1,1,50,96,0.48,11,0.44,15,15,9,30,31,29,3,4,18,18,119,7,95,42,74,0.51,99,108,2025
2024-10-09,GSW,LAL,1,0,41,73,0.44,16,0.35,25,16,15,23,32,25,3,5,17,17,109,-10,96,31,90,0.53,121,123,2025
2024-10-10,NYK,CHI,1,0,31,83,0.48,18,0.33,17,19,15,21,47,19,10,2,16,16,103,4,122,35,88,0.42,106,100,2025
2024-10-10,CHI,NYK,1,1,41,87,0.54,19,0.41,12,30,14,33,31,29,8,5,9,16,100,-3,116,49,83,0.51,99,130,2025
2024-10-10,GSW,BKN,1,1,46,78,0.52,12,0.31,18,16,13,32,43,17,10,5,12,15,111,-3,129,36,80,0.48,96,104,2025
2024-10-10,BKN,GSW,1,0,30,98,0.42,15,0.41,24,30,7,33,37,30,5,6,18,25,109,-7,108,50,84,0.45,122,111,2025
2024-10-10,PHI,MIA,1,0,33,95,0.49,14,0.35,21,18,11,25,45,26,6,4,8,22,94,4,101,46,74,0.47,127,115,2025
2024-10-10,MIA,PHI,1,0,47,94,0.52,13,0.39,24,22,14,30,47,23,5,2,18,22,99,6,128,34,80,0.53,107,92,2025
2024-10-10,MIL,BOS,1,1,42,91,0.45,10,0.45,12,21,11,27,31,21,5,3,10,22,111,0,122,32,95,0.46,108,93,2025
2024-10-10,BOS,MIL,1,0,47,78,0.52,16,0.35,12,29,6,28,30,27,8,4,13,19,92,-8,93,31,99,0.51,111,99,2025
2024-10-10,LAL,DAL,1,1,45,76,0.51,15,0.3,22,24,13,33,41,24,8,2,18,25,99,-8,119,49,87,0.44,90,122,2025
2024-10-10,DAL,LAL,1,0,33,86,0.45,10,0.39,13,27,7,31,50,16,7,4,15,18,116,10,100,50,95,0.55,130,108,2025
2024-10-11,MIA,PHI,1,0,44,91,0.43,13,0.33,11,18,6,34,44,28,8,6,11,17,94,9,122,33,74,0.41,125,105,2025
2024-10-11,PHI,MIA,1,1,38,95,0.49,12,0.45,13,17,14,32,46,16,3,6,15,23,113,1,128,31,90,0.49,102,127,2025
2024-10-11,LAL,CHI,1,1,38,97,0.5,5,0.36,25,24,7,29,45,27,10,5,14,22,128,7,91,46,93,0.48,115,102,2025
2024-10-11,CHI,LAL,1,1,47,82,0.52,6,0.35,15,29,10,26,37,19,5,6,17,21,120,4,124,48,73,0.49,113,101,2025
2024-10-11,BOS,BKN,1,1,49,82,0.43,13,0.44,22,19,9,24,47,20,9,2,18,25,115,10,110,47,91,0.53,102,126,2025
2024-10-11,BKN,BOS,1,0,46,85,0.44,9,0.45,17,22,12,22,40,16,4,7,18,25,121,9,118,30,91,0.44,121,129,2025
2024-10-11,NYK,MIL,1,1,32,93,0.52,18,0.31,12,29,13,31,35,28,7,4,8,23,117,-4,109,43,86,0.51,90,121,2025
2024-10-11,MIL,NYK,1,0,48,100,0.4,8,0.42,23,26,10,32,36,17,9,4,13,16,116,-2,123,36,93,0.43,119,103,2025
2024-10-11,GSW,DAL,1,1,32,86,0.41,10,0.42,22,15,8,26,44,23,9,4,17,22,127,-8,119,48,74,0.43,94,107,2025
2024-10-11,DAL,GSW,1,1,47,91,0.44,6,0.35,22,15,5,20,35,30,9,7,10,16,106,2,121,42,88,0.4,94,93,2025
2024-10-12,NYK,LAL,1,1,31,79,0.54,14,0.37,23,22,9,24,39,18,9,5,9,24,116,10,127,40,91,0.51,105,123,2025
2024-10-12,LAL,NYK,1,1,49,86,0.46,17,0.3,14,28,11,23,44,16,8,2,15,23,102,2,116,48,85,0.4,91,93,2025
2024-10-12,PHI,MIL,1,1,50,76,0.41,10,0.32,10,22,11,32,34,26,7,5,10,20,123,-2,99,41,94,0.52,98,103,2025
2024-10-12,MIL,PHI,1,0,34,96,0.46,19,0.37,20,16,11,21,41,22,6,7,16,16,102,1,106,40,99,0.53,110,95,2025
2024-10-12,GSW,DAL,1,0,31,76,0.53,11,0.36,19,17,8,30,31,19,4,2,15,17,91,0,94,35,82,0.51,103,96,2025
2024-10-12,DAL,GSW,1,1,41,76,0.49,16,0.43,11,17,13,34,45,15,8,5,18,18,129,2,101,33,85,0.52,94,94,2025
2024-10-12,CHI,MIA,1,1,33,98,0.53,18,0.36,20,29,15,26,47,15,6,8,12,23,125,0,96,36,85,0.49,123,121,2025
2024-10-12,MIA,CHI,1,0,40,81,0.51,12,0.34,23,29,9,32,36,18,4,6,18,16,119,7,111,45,92,0.44,120,92,2025
2024-10-12,BKN,BOS,1,0,35,81,0.46,7,0.44,11,29,12,34,46,27,6,7,10,24,98,3,124,40,71,0.53,124,108,2025
2024-10-12,BOS,BKN,1,1,45,80,0.52,17,0.36,25,17,5,27,42,17,7,5,12,23,128,4,101,33,95,0.48,115,90,2025
2024-10-13,MIA,MIL,1,1,38,98,0.47,8,0.37,19,17,15,35,37,20,5,7,13,20,117,-6,110,35,99,0.5,93,111,2025
2024-10-13,MIL,MIA,1,0,36,96,0.45,7,0.39,16,19,15,22,30,26,3,5,8,19,102,6,113,40,98,0.47,121,120,2025
2024-10-13,BOS,CHI,1,1,35,91,0.45,17,0.34,16,20,6,22,45,18,8,7,10,20,118,-8,103,41,94,0.46,100,95,2025
2024-10-13,CHI,BOS,1,0,36,86,0.53,12,0.42,13,22,13,24,40,26,9,3,15,17,91,-9,128,37,85,0.52,126,108,2025
2024-10-13,LAL,GSW,1,1,31,98,0.42,9,0.38,24,19,10,26,43,17,3,8,17,16,129,-2,114,36,99,0.52,121,118,2025
2024-10-13,GSW,LAL,1,0,45,85,0.44,9,0.4,20,18,11,20,33,24,7,4,17,18,105,1,123,43,70,0.54,106,124,2025
2024-10-13,NYK,BKN,1,1,42,80,0.53,7,0.35,20,15,6,26,36,19,5,5,17,21,99,5,125,30,83,0.43,98,92,2025
2024-10-13,BKN,NYK,1,1,45,74,0.42,18,0.37,14,15,8,28,39,28,3,2,9,23,115,-7,113,47,74,0.55,114,102,2025
2024-10-13,DAL,PHI,1,1,37,81,0.49,15,0.45,21,16,7,26,31,20,9,6,16,22,100,-8,115,40,90,0.47,92,110,2025
2024-10-13,PHI,DAL,1,1,48,82,0.51,6,0.44,23,26,14,26,39,18,9,5,15,23,127,-2,120,46,95,0.43,118,103,2025
2024-10-14,MIL,MIA,1,1,49,84,0.47,16,0.41,12,15,9,32,42,30,4,3,12,18,119,4,116,36,73,0.54,118,127,2025
2024-10-14,MIA,MIL,1,0,31,89,0.43,19,0.37,15,30,10,34,35,25,10,4,11,24,107,-8,102,40,73,0.53,119,102,2025
2024-10-14,BKN,BOS,1,0,45,78,0.48,5,0.35,13,27,14,23,40,21,5,2,9,25,96,4,98,43,80,0.44,123,93,2025
2024-10-14,BOS,BKN,1,0,43,84,0.54,14,0.37,18,26,14,30,49,27,3,5,18,16,102,-9,101,30,86,0.54,127,93,2025
2024-10-14,PHI,CHI,1,1,45,86,0.51,7,0.45,20,29,6,28,40,26,6,2,18,22,114,3,103,35,75,0.41,111,100,2025
2024-10-14,CHI,PHI,1,0,33,77,0.51,9,0.37,21,28,13,21,40,15,5,2,15,23,97,-9,105,47,74,0.46,121,102,2025
2024-10-14,LAL,GSW,1,0,43,74,0.43,6,0.43,15,20,12,21,32,27,8,3,14,21,92,-10,114,38,76,0.44,109,118,2025
2024-10-14,GSW,LAL,1,1,31,89,0.41,14,0.39,25,29,7,26,42,19,5,3,18,20,114,-7,108,41,73,0.44,97,124,2025
2024-10-14,DAL,NYK,1,0,43,74,0.42,18,0.35,15,26,11,30,34,21,3,2,15,18,113,-2,92,36,79,0.41,127,110,2025
2024-10-14,NYK,DAL,1,1,33,97,0.53,13,0.32,25,28,14,34,46,21,3,6,8,15,99,6,121,43,84,0.49,96,102,2025
2024-10-15,MIL,MIA,1,0,45,74,0.52,19,0.39,12,25,12,20,42,21,3,6,18,17,97,-5,113,32,70,0.41,123,115,2025
2024-10-15,MIA,MIL,1,1,45,88,0.47,10,0.32,24,23,10,32,38,20,10,7,15,24,115,-4,103,50,74,0.46,102,117,2025
2024-10-15,NYK,CHI,1,1,36,81,0.43,7,0.34,14,29,11,27,32,19,4,4,10,21,117,10,127,34,88,0.41,93,129,2025
2024-10-15,CHI,NYK,1,1,45,76,0.47,14,0.43,18,17,9,21,43,26,3,5,17,19,127,-9,106,32,81,0.42,116,125,2025
2024-10-15,PHI,GSW,1,0,48,97,0.52,20,0.42,11,21,15,30,30,18,10,8,18,25,93,10,107,50,78,0.52,101,92,2025
2024-10-15,GSW,PHI,1,0,49,83,0.5,11,0.32,18,27,6,28,44,18,3,8,12,24,92,-7,124,35,92,0.43,116,115,2025
2024-10-15,DAL,BKN,1,1,39,73,0.41,16,0.37,21,26,14,29,34,21,4,3,11,23,110,2,121,47,81,0.48,104,122,2025
2024-10-15,BKN,DAL,1,1,34,93,0.46,16,0.38,25,16,13,24,39,26,7,8,16,24,122,4,123,30,86,0.52,90,98,2025
2024-10-15,LAL,BOS,1,1,50,88,0.45,8,0.38,14,29,13,24,40,21,5,7,15,18,128,-7,117,30,81,0.42,100,115,2025
2024-10-15,BOS,LAL,1,0,50,94,0.55,13,0.32,19,23,15,25,38,30,8,7,18,19,93,-10,116,34,83,0.48,130,91,2025
2024-10-16,GSW,CHI,1,1,36,94,0.44,10,0.37,13,23,11,23,31,22,8,8,9,19,130,-5,101,43,95,0.41,102,109,2025
2024-10-16,CHI,GSW,1,0,42,96,0.41,5,0.31,25,21,14,32,31,26,4,8,15,22,113,5,111,44,85,0.53,115,99,2025
2024-10-16,PHI,DAL,1,1,33,81,0.48,13,0.31,25,29,5,27,36,20,3,3,17,18,105,-4,101,46,88,0.55,99,125,2025
2024-10-16,DAL,PHI,1,0,36,70,0.44,16,0.44,24,21,8,26,44,16,10,7,15,16,107,-5,130,48,76,0.4,120,109,2025
2024-10-16,MIA,MIL,1,1,43,93,0.44,9,0.32,20,20,6,21,31,16,3,5,16,17,116,3,115,45,72,0.48,93,126,2025
2024-10-16,MIL,MIA,1,0,34,88,0.49,7,0.45,15,25,8,33,38,30,9,2,17,17,108,3,103,33,78,0.48,125,92,2025
2024-10-16,BOS,LAL,1,1,49,94,0.51,5,0.35,12,24,12,32,36,18,7,2,10,20,99,1,128,48,74,0.45,91,128,2025
2024-10-16,LAL,BOS,1,1,36,94,0.49,7,0.43,21,16,7,32,43,28,10,8,9,19,106,7,112,38,83,0.41,95,95,2025
2024-10-16,BKN,NYK,1,0,37,82,0.42,14,0.42,21,26,6,27,37,26,4,2,14,15,108,-6,122,43,86,0.55,113,104,2025
2024-10-16,NYK,BKN,1,1,48,94,0.53,19,0.36,13,20,13,22,36,16,4,5,10,23,128,-2,117,48,88,0.43,118,129,2025
2024-10-17,GSW,BKN,1,0,31,94,0.43,13,0.45,11,23,5,25,46,16,4,4,12,23,126,-4,113,42,89,0.45,127,129,2025
2024-10-17,BKN,GSW,1,0,50,70,0.5,9,0.34,23,27,11,31,34,15,10,7,10,15,94,-7,107,31,78,0.46,104,118,2025
2024-10-17,CHI,PHI,1,0,31,90,0.47,10,0.31,20,25,15,22,30,18,6,7,18,18,97,5,127,44,75,0.49,98,96,2025
2024-10-17,PHI,CHI,1,1,40,82,0.5,10,0.39,11,28,9,20,45,22,8,5,13,24,130,-9,100,31,100,0.42,113,99,2025
2024-10-17,MIA,BOS,1,1,32,89,0.49,16,0.44,22,28,10,31,36,16,7,6,15,21,128,6,120,42,99,0.43,124,109,2025
2024-10-17,BOS,MIA,1,1,45,79,0.5,10,0.33,24,28,14,31,43,25,7,6,14,25,117,-7,126,49,89,0.45,108,94,2025
2024-10-17,NYK,LAL,1,1,31,96,0.49,5,0.37,15,15,12,20,40,23,9,5,18,16,123,6,116,44,78,0.42,106,127,2025
2024-10-17,LAL,NYK,1,0,34,84,0.48,20,0.34,14,23,11,31,49,19,8,4,17,15,104,-8,128,41,88,0.52,113,99,2025
2024-10-17,MIL,DAL,1,0,50,99,0.4,12,0.35,25,24,15,32,37,24,4,4,17,24,93,-1,105,39,85,0.55,98,103,2025
2024-10-17,DAL,MIL,1,1,33,89,0.53,6,0.39,24,16,8,23,45,27,6,2,14,20,129,8,117,34,90,0.54,107,106,2025
2024-10-18,NYK,PHI,1,1,40,91,0.51,13,0.4,20,26,6,33,45,29,7,3,17,17,114,4,101,39,91,0.49,103,122,2025
2024-10-18,PHI,NYK,1,1,33,89,0.48,6,0.35,11,23,11,22,34,19,9,7,14,18,107,1,109,33,87,0.54,97,117,2025
2024-10-18,GSW,BKN,1,1,45,94,0.54,9,0.35,14,20,15,27,40,28,5,3,10,15,116,5,94,32,75,0.55,107,123,2025
2024-10-18,BKN,GSW,1,0,48,91,0.55,6,0.39,13,29,15,20,37,30,9,5,12,16,105,9,108,44,77,0.43,120,113,2025
2024-10-18,MIL,BOS,1,0,44,82,0.42,13,0.31,10,26,13,26,49,28,7,7,16,17,109,7,103,38,78,0.43,112,129,2025
2024-10-18,BOS,MIL,1,0,46,82,0.44,7,0.35,16,29,15,22,38,21,10,2,18,21,98,-7,105,42,88,0.46,117,127,2025
2024-10-18,CHI,MIA,1,0,50,93,0.4,11,0.35,24,19,9,20,34,20,8,5,13,17,98,-6,119,41,79,0.47,119,127,2025
2024-10-18,MIA,CHI,1,0,45,78,0.5,14,0.34,19,22,11,34,47,22,3,4,16,24,91,-6,127,31,91,0.49,108,113,2025
2024-10-18,DAL,LAL,1,0,31,98,0.42,16,0.4,17,15,11,20,36,26,8,7,8,16,107,-7,101,40,76,0.47,115,99,2025
2024-10-18,LAL,DAL,1,1,30,83,0.52,13,0.32,22,21,13,21,39,27,9,4,11,23,115,6,109,48,81,0.54,103,107,2025
2024-10-19,DAL,LAL,1,1,46,96,0.45,9,0.44,16,23,8,23,42,20,4,5,17,18,124,-1,102,41,92,0.42,118,121,2025
2024-10-19,LAL,DAL,1,1,34,100,0.55,9,0.38,21,18,11,28,33,24,8,8,14,22,119,9,127,31,85,0.53,95,120,2025
2024-10-19,BOS,GSW,1,1,39,74,0.53,16,0.44,15,22,7,20,43,20,8,8,17,17,123,-4,117,44,72,0.5,116,126,2025
2024-10-19,GSW,BOS,1,0,36,73,0.42,20,0.44,20,29,12,21,38,21,4,6,10,24,94,-4,100,30,71,0.49,107,127,2025
